,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price-binned,Screen-Full HD,Screen-IPS_panel
100,100,MSI,1,3,1,7,43.94,0.9655172413793103,8,256,2.7,1714,17.299212598425196,1.2244897959183674,Medium,True,False
101,101,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.33,989,15.598425196850393,1.056689342403628,Low,True,False
102,102,Lenovo,3,1,1,7,38.1,0.6206896551724138,8,256,2.1,1562,15.0,0.9523809523809524,Low,False,True
103,103,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.9,1192,14.0,0.8616780045351473,Low,False,True
104,104,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1117,15.598425196850393,1.1337868480725624,Low,True,False
105,105,Dell,3,1,2,5,39.62,0.8620689655172414,4,256,2.3,761,15.598425196850393,1.0430839002267573,Low,True,False
106,106,HP,4,2,1,7,35.56,0.8620689655172414,8,256,1.43,1905,14.0,0.6485260770975056,Medium,True,False
107,107,Lenovo,4,1,1,7,35.56,0.6206896551724138,8,256,1.75,1544,14.0,0.7936507936507936,Low,False,True
108,108,HP,3,2,1,7,39.62,1.0,8,256,2.31,1813,15.598425196850393,1.0476190476190477,Medium,True,False
109,109,Dell,4,2,2,7,35.56,0.9655172413793103,8,256,1.6,1396,14.0,0.7256235827664399,Low,True,False
110,110,Lenovo,3,2,1,7,33.02,0.9310344827586208,8,256,1.4,1283,13.000000000000002,0.6349206349206349,Low,False,True
111,111,Lenovo,3,2,1,3,35.56,0.9310344827586208,4,128,1.7,761,14.0,0.7709750566893424,Low,False,True
112,112,Asus,3,2,2,5,39.62,0.8620689655172414,4,256,2.0,710,15.598425196850393,0.9070294784580498,Low,True,False
113,113,Dell,3,1,1,5,39.62,0.5517241379310345,4,256,2.2,951,15.598425196850393,0.997732426303855,Low,True,False
114,114,Lenovo,4,2,1,5,30.48,0.8620689655172414,8,256,1.36,1815,12.0,0.6167800453514739,Medium,False,True
115,115,Dell,3,3,1,5,35.56,0.9655172413793103,8,256,1.64,1498,14.0,0.7437641723356009,Low,True,False
116,116,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1306,15.598425196850393,0.997732426303855,Low,True,False
117,117,Dell,5,3,1,7,38.1,0.9310344827586208,16,256,2.17,2509,15.0,0.9841269841269841,Medium,False,True
